,Driver,TeamName_x,GridPosition,Finish_Position,Status,delta_to_pole,Qual_Position,Year,Location,fp2_median_pace,fp2_team_dif,fp2_deg_rate
0,LEC,Ferrari,1.0,1.0,Finished,0.0,1.0,2022,Sakhir,97.169,-1.4069999999999965,
1,SAI,Ferrari,3.0,2.0,Finished,0.12899999999999068,3.0,2022,Sakhir,98.576,1.4069999999999965,1.7717028571428604
2,HAM,Mercedes,5.0,3.0,Finished,0.6799999999999926,5.0,2022,Sakhir,98.827,0.3130000000000024,1.5083909090909111
3,RUS,Mercedes,9.0,4.0,Finished,1.657999999999987,9.0,2022,Sakhir,98.514,-0.3130000000000024,1.6765363636363626
4,MAG,Haas F1 Team,7.0,5.0,Finished,1.25,7.0,2022,Sakhir,98.62,-1.1895000000000095,1.785214285714286
5,BOT,Alfa Romeo,6.0,6.0,Finished,1.0019999999999953,6.0,2022,Sakhir,98.211,-0.9680000000000035,0.2212488721804563
6,OCO,Alpine,11.0,7.0,Finished,1.2239999999999895,11.0,2022,Sakhir,98.768,0.45699999999999363,0.14145238095237486
7,TSU,AlphaTauri,16.0,8.0,Finished,2.191999999999993,16.0,2022,Sakhir,99.182,0.4825000000000017,-0.29472032967033257
8,ALO,Alpine,8.0,9.0,Finished,1.6369999999999862,8.0,2022,Sakhir,98.311,-0.45699999999999363,0.14901190476189885
9,ZHO,Alfa Romeo,15.0,10.0,Finished,2.9849999999999994,15.0,2022,Sakhir,99.179,0.9680000000000035,1.3189157754010707
10,MSC,Haas F1 Team,12.0,11.0,Finished,1.4399999999999977,12.0,2022,Sakhir,99.80950000000001,1.1895000000000095,0.08102571428571655
11,STR,Aston Martin,19.0,12.0,Finished,2.4739999999999895,19.0,2022,Sakhir,99.375,-0.8310000000000031,-0.31472063492062813
12,ALB,Williams,14.0,13.0,Finished,2.1059999999999945,14.0,2022,Sakhir,100.232,0.269999999999996,0.8040624999999998
13,RIC,McLaren,18.0,14.0,Finished,2.3869999999999862,18.0,2022,Sakhir,107.7295,8.168499999999995,-0.02068571428571467
14,NOR,McLaren,13.0,15.0,Finished,1.4499999999999886,13.0,2022,Sakhir,99.561,-8.168499999999995,2.0767969924812006
15,LAT,Williams,20.0,16.0,Finished,3.0759999999999934,20.0,2022,Sakhir,99.962,-0.269999999999996,1.845981293706294
16,HUL,Aston Martin,17.0,17.0,Finished,2.218999999999994,17.0,2022,Sakhir,100.206,0.8310000000000031,2.282163265306126
17,PER,Red Bull Racing,4.0,18.0,Fuel pressure,0.36299999999999955,4.0,2022,Sakhir,98.365,1.0334999999999894,0.2379523809523839
18,VER,Red Bull Racing,2.0,19.0,Fuel pressure,0.12299999999999045,2.0,2022,Sakhir,97.3315,-1.0334999999999894,0.07021666666666405
19,GAS,AlphaTauri,10.0,20.0,Power Unit,1.779999999999987,10.0,2022,Sakhir,98.6995,-0.4825000000000017,-0.4030323809523742
20,VER,Red Bull Racing,4.0,1.0,Finished,0.2609999999999957,4.0,2022,Jeddah,95.238,-0.23499999999999943,-1.7163610389610364
21,LEC,Ferrari,2.0,2.0,Finished,0.024999999999991473,2.0,2022,Jeddah,90.391,-9.336499999999987,-1.9043999999999859
22,SAI,Ferrari,3.0,3.0,Finished,0.20199999999999818,3.0,2022,Jeddah,99.72749999999999,9.336499999999987,0.3441000000000106
23,PER,Red Bull Racing,1.0,4.0,Finished,0.0,1.0,2022,Jeddah,95.473,0.23499999999999943,-1.4266628571428615
