,Driver,TeamName_x,GridPosition,Finish_Position,Status,Median_lap_time,team_dif,Deg_Rate_Weighted,delta_to_pole,Qual_Position,Year,Location,dnf
0,LEC,Ferrari,1.0,1.0,Finished,97.752,-0.4900000000000091,0.1310109557109563,0.0,1.0,2022,Sakhir,False
1,SAI,Ferrari,3.0,2.0,Finished,98.242,0.4900000000000091,0.09461741071428707,0.12899999999999068,3.0,2022,Sakhir,False
2,HAM,Mercedes,5.0,3.0,Finished,98.3805,-0.515500000000003,0.04749270045034529,0.6799999999999926,5.0,2022,Sakhir,False
3,RUS,Mercedes,9.0,4.0,Finished,98.896,0.515500000000003,0.07378257575757644,1.657999999999987,9.0,2022,Sakhir,False
4,MAG,Haas F1 Team,7.0,5.0,Finished,99.089,-1.4669999999999987,0.11102578304049278,1.25,7.0,2022,Sakhir,False
5,BOT,Alfa Romeo,6.0,6.0,Finished,99.7565,-0.05749999999999034,0.0715080428343587,1.0019999999999953,6.0,2022,Sakhir,False
6,OCO,Alpine,11.0,7.0,Finished,99.24600000000001,-0.5629999999999882,0.030255902162354985,1.2239999999999895,11.0,2022,Sakhir,False
7,TSU,AlphaTauri,16.0,8.0,Finished,99.1815,-0.37300000000000466,0.02983199381263968,2.191999999999993,16.0,2022,Sakhir,False
8,ALO,Alpine,8.0,9.0,Finished,99.809,0.5629999999999882,0.09028847515832464,1.6369999999999862,8.0,2022,Sakhir,False
9,ZHO,Alfa Romeo,15.0,10.0,Finished,99.814,0.05749999999999034,0.0030124999999988633,2.9849999999999994,15.0,2022,Sakhir,False
10,MSC,Haas F1 Team,12.0,11.0,Finished,100.556,1.4669999999999987,0.10834418610909018,1.4399999999999977,12.0,2022,Sakhir,False
11,STR,Aston Martin,19.0,12.0,Finished,100.445,-0.21300000000000807,0.16552102969842722,2.4739999999999895,19.0,2022,Sakhir,False
12,ALB,Williams,14.0,13.0,Finished,100.80799999999999,-0.33150000000000546,0.09794607612782213,2.1059999999999945,14.0,2022,Sakhir,False
13,RIC,McLaren,18.0,14.0,Finished,100.627,-1.031000000000006,0.11982898351648776,2.3869999999999862,18.0,2022,Sakhir,False
14,NOR,McLaren,13.0,15.0,Finished,101.658,1.031000000000006,0.19238214285714114,1.4499999999999886,13.0,2022,Sakhir,False
15,LAT,Williams,20.0,16.0,Finished,101.1395,0.33150000000000546,0.15232983152205137,3.0759999999999934,20.0,2022,Sakhir,False
16,HUL,Aston Martin,17.0,17.0,Finished,100.658,0.21300000000000807,0.21808190045249248,2.218999999999994,17.0,2022,Sakhir,False
17,PER,Red Bull Racing,4.0,18.0,Fuel pressure,98.155,0.016000000000005343,0.13758151260504367,0.36299999999999955,4.0,2022,Sakhir,False
18,VER,Red Bull Racing,2.0,19.0,Fuel pressure,98.139,-0.016000000000005343,0.1124493026439613,0.12299999999999045,2.0,2022,Sakhir,False
19,GAS,AlphaTauri,10.0,20.0,Power Unit,99.5545,0.37300000000000466,0.06915882352941408,1.779999999999987,10.0,2022,Sakhir,False
20,VER,Red Bull Racing,4.0,1.0,Finished,93.688,-0.010000000000005116,-0.0554637033383675,0.2609999999999957,4.0,2022,Jeddah,False
21,LEC,Ferrari,2.0,2.0,Finished,93.521,-0.1839999999999975,-0.03546875866958521,0.024999999999991473,2.0,2022,Jeddah,False
22,SAI,Ferrari,3.0,3.0,Finished,93.705,0.1839999999999975,-0.08393267778428509,0.20199999999999818,3.0,2022,Jeddah,False
23,PER,Red Bull Racing,1.0,4.0,Finished,93.69800000000001,0.010000000000005116,-0.10489762954286196,0.0,1.0,2022,Jeddah,False
24,RUS,Mercedes,6.0,5.0,Finished,94.23599999999999,-0.8120000000000118,-0.0833681725658728,0.9039999999999964,6.0,2022,Jeddah,False
25,OCO,Alpine,5.0,6.0,Finished,95.4825,-0.6694999999999993,-0.13450011308379617,0.867999999999995,5.0,2022,Jeddah,False
26,NOR,McLaren,11.0,7.0,Finished,96.1735,0.2185000000000059,-0.1678250593689926,1.4509999999999934,11.0,2022,Jeddah,False
27,GAS,AlphaTauri,9.0,8.0,Finished,96.143,,-0.1411552640506613,1.054000000000002,9.0,2022,Jeddah,False
28,MAG,Haas F1 Team,10.0,9.0,Finished,95.574,,-0.062071428571430894,1.387999999999991,10.0,2022,Jeddah,False
29,HAM,Mercedes,15.0,10.0,Finished,95.048,0.8120000000000118,-0.2446285714285786,2.1430000000000007,16.0,2022,Jeddah,False
30,ZHO,Alfa Romeo,12.0,11.0,Finished,96.2805,-0.009500000000002728,-0.15722186781997308,1.6189999999999998,13.0,2022,Jeddah,False
31,HUL,Aston Martin,17.0,12.0,Finished,96.594,0.35299999999999443,-0.07308571428571,2.3430000000000035,18.0,2022,Jeddah,False
