,Driver,TeamName_x,GridPosition,Finish_Position,Status,Median_lap_time,team_dif,Deg_Rate_Weighted,delta_to_pole,Qual_Position,Year,Location,dnf
0,PER,Red Bull Racing,3.0,1.0,Finished,105.511,0.02549999999999386,-0.028619701337201615,0.2920000000000016,3.0,2023,Baku,False
1,VER,Red Bull Racing,2.0,2.0,Finished,105.4855,-0.02549999999999386,-0.03777129221984123,0.1880000000000024,2.0,2023,Baku,False
2,LEC,Ferrari,1.0,3.0,Finished,106.1815,-0.5344999999999942,-0.06638905587774137,0.0,1.0,2023,Baku,False
3,ALO,Aston Martin,6.0,4.0,Finished,106.15700000000001,-0.5854999999999961,-0.08098338251706555,1.0499999999999972,6.0,2023,Baku,False
4,SAI,Ferrari,4.0,5.0,Finished,106.716,0.5344999999999942,-0.06001602864752726,0.8130000000000024,4.0,2023,Baku,False
5,HAM,Mercedes,5.0,6.0,Finished,106.678,-0.20900000000000318,-0.060671765342243084,0.9740000000000038,5.0,2023,Baku,False
6,STR,Aston Martin,9.0,7.0,Finished,106.7425,0.5854999999999961,-0.05683276389754358,1.4080000000000013,9.0,2023,Baku,False
7,RUS,Mercedes,11.0,8.0,Finished,106.887,0.20900000000000318,-0.07410675864477946,1.4509999999999934,11.0,2023,Baku,False
8,NOR,McLaren,7.0,9.0,Finished,107.445,-0.10900000000000887,-0.06957654683296638,1.078000000000003,7.0,2023,Baku,False
9,TSU,AlphaTauri,8.0,10.0,Finished,107.59899999999999,-1.6960000000000122,-0.06520616287600893,1.3780000000000001,8.0,2023,Baku,False
10,PIA,McLaren,10.0,11.0,Finished,107.554,0.10900000000000887,-0.071674981658107,1.4080000000000013,10.0,2023,Baku,False
11,ALB,Williams,12.0,12.0,Finished,107.72800000000001,-0.20549999999998647,-0.07051382219262198,1.6149999999999949,13.0,2023,Baku,False
12,MAG,Haas F1 Team,16.0,13.0,Finished,107.578,-0.09999999999999432,-0.06957067742724272,3.2139999999999986,18.0,2023,Baku,False
13,GAS,Alpine,17.0,14.0,Finished,106.989,-0.5805000000000007,-0.03678034103295147,4.6499999999999915,19.0,2023,Baku,False
14,OCO,Alpine,19.0,15.0,Finished,107.5695,0.5805000000000007,,1.5949999999999989,12.0,2023,Baku,False
