,Driver,TeamName_x,GridPosition,Finish_Position,Status,Median_lap_time,team_dif,Deg_Rate_Weighted,delta_to_pole,Qual_Position,Year,Location,dnf
0,RUS,Mercedes,1.0,1.0,Finished,83.093,0.069500000000005,0.0006614825909430435,0.0,1.0,2026,Melbourne,False
1,ANT,Mercedes,2.0,2.0,Finished,83.0235,-0.069500000000005,-0.013633106957466664,0.29300000000000637,2.0,2026,Melbourne,False
2,LEC,Ferrari,4.0,3.0,Finished,83.174,-0.14299999999998647,-0.002769840497957941,0.8089999999999975,4.0,2026,Melbourne,False
3,HAM,Ferrari,7.0,4.0,Finished,83.317,0.14299999999998647,-0.02256062291434943,0.9599999999999937,7.0,2026,Melbourne,False
4,NOR,McLaren,6.0,5.0,Finished,83.6105,,-0.01522997283394913,0.9569999999999936,6.0,2026,Melbourne,False
5,VER,Red Bull Racing,20.0,6.0,Finished,83.536,-1.867999999999995,0.05196127338171941,,,2026,Melbourne,False
6,BEA,Haas F1 Team,12.0,7.0,Lapped,84.6595,-0.5925000000000011,0.013921369876494453,1.7930000000000064,12.0,2026,Melbourne,False
7,LIN,Racing Bulls,9.0,8.0,Lapped,84.863,-0.3400000000000034,0.023843256408994047,2.728999999999999,9.0,2026,Melbourne,False
8,BOR,Audi,10.0,9.0,Lapped,84.695,,0.009884740259740041,1.703000000000003,10.0,2026,Melbourne,False
9,GAS,Alpine,14.0,10.0,Lapped,85.2025,-0.430499999999995,0.005497442791142485,1.983000000000004,14.0,2026,Melbourne,False
10,OCO,Haas F1 Team,13.0,11.0,Lapped,85.252,0.5925000000000011,-0.0026505894714069344,1.972999999999999,13.0,2026,Melbourne,False
11,ALB,Williams,15.0,12.0,Lapped,85.35650000000001,-0.34149999999998215,0.025426107801531418,2.423000000000002,15.0,2026,Melbourne,False
12,LAW,Racing Bulls,8.0,13.0,Lapped,85.203,0.3400000000000034,-0.012634088613924021,1.475999999999999,8.0,2026,Melbourne,False
13,COL,Alpine,16.0,14.0,Lapped,85.633,0.430499999999995,0.04053185248144221,2.7519999999999953,16.0,2026,Melbourne,False
14,SAI,Williams,21.0,15.0,Lapped,85.698,0.34149999999998215,-0.07707161165980667,,,2026,Melbourne,False
15,PER,Cadillac,18.0,16.0,Lapped,87.595,-0.33549999999999613,0.07921163958274169,4.087000000000003,18.0,2026,Melbourne,False
16,STR,Aston Martin,22.0,17.0,Lapped,87.44800000000001,-0.026999999999986812,0.09468510881011134,,,2026,Melbourne,False
17,ALO,Aston Martin,17.0,18.0,Retired,87.475,0.026999999999986812,0.3532500000000007,3.4509999999999934,17.0,2026,Melbourne,True
18,BOT,Cadillac,19.0,19.0,Retired,87.9305,0.33549999999999613,,4.725999999999999,19.0,2026,Melbourne,True
19,HAD,Red Bull Racing,3.0,20.0,Retired,85.404,1.867999999999995,,0.7849999999999966,3.0,2026,Melbourne,True
20,PIA,McLaren,5.0,21.0,Did not start,,,,0.8619999999999948,5.0,2026,Melbourne,True
21,HUL,Audi,11.0,22.0,Did not start,,,,1.7849999999999966,11.0,2026,Melbourne,True
22,ANT,Mercedes,1.0,1.0,Finished,96.378,-0.04200000000000159,-0.04006517526483584,0.0,1.0,2026,Shanghai,False
23,RUS,Mercedes,2.0,2.0,Finished,96.42,0.04200000000000159,-0.058989204202909984,0.2220000000000084,2.0,2026,Shanghai,False
24,HAM,Ferrari,3.0,3.0,Finished,96.876,0.036000000000001364,-0.035496283696494005,0.3510000000000133,3.0,2026,Shanghai,False
25,LEC,Ferrari,4.0,4.0,Finished,96.84,-0.036000000000001364,-0.031125949530616773,0.3640000000000043,4.0,2026,Shanghai,False
26,BEA,Haas F1 Team,10.0,5.0,Finished,97.496,-0.8610000000000042,-0.04632641030057624,1.2280000000000086,10.0,2026,Shanghai,False
27,GAS,Alpine,7.0,6.0,Finished,97.575,-0.8084999999999951,-0.06941482740117993,0.8090000000000117,7.0,2026,Shanghai,False
28,LAW,Racing Bulls,14.0,7.0,Finished,97.995,-0.5480000000000018,-0.05761927657912824,1.7010000000000076,14.0,2026,Shanghai,False
29,HAD,Red Bull Racing,9.0,8.0,Finished,98.039,0.22449999999999193,-0.04204736253645256,1.0570000000000022,9.0,2026,Shanghai,False
30,SAI,Williams,17.0,9.0,Lapped,98.726,,-0.030694502951886575,2.253,17.0,2026,Shanghai,False
31,COL,Alpine,12.0,10.0,Lapped,98.3835,0.8084999999999951,0.0891702385067406,1.2930000000000064,12.0,2026,Shanghai,False
32,HUL,Audi,11.0,11.0,Lapped,98.388,,0.065140350877192,1.2900000000000063,11.0,2026,Shanghai,False
33,LIN,Racing Bulls,15.0,12.0,Lapped,98.543,0.5480000000000018,0.1346582109479312,1.720000000000013,15.0,2026,Shanghai,False
34,BOT,Cadillac,19.0,13.0,Lapped,99.768,-0.2360000000000042,-0.025128918125318145,3.372000000000014,20.0,2026,Shanghai,False
35,OCO,Haas F1 Team,13.0,14.0,Lapped,98.357,0.8610000000000042,0.04660241867444458,1.4740000000000038,13.0,2026,Shanghai,False
36,PER,Cadillac,21.0,15.0,Lapped,100.004,0.2360000000000042,0.003090061112898098,4.842000000000013,22.0,2026,Shanghai,False
37,VER,Red Bull Racing,8.0,16.0,Retired,97.81450000000001,-0.22449999999999193,-0.07038243477080663,0.9380000000000024,8.0,2026,Shanghai,True
38,ALO,Aston Martin,18.0,17.0,Retired,100.35249999999999,-0.7305000000000064,,3.13900000000001,19.0,2026,Shanghai,True
39,STR,Aston Martin,20.0,18.0,Retired,101.083,0.7305000000000064,,3.9310000000000116,21.0,2026,Shanghai,True
40,PIA,McLaren,5.0,19.0,Did not start,,,,0.4860000000000042,5.0,2026,Shanghai,True
