,Unnamed: 0,Driver,TeamName_x,GridPosition,Finish_Position,Status,delta_to_pole,Qual_Position,Year,Location,fp2_median_pace,fp2_team_dif,fp2_deg_rate
0,0,VER,Red Bull Racing,1.0,1.0,Finished,0.0,1.0,2024,Sakhir,96.6795,-0.3275000000000148,1.3675648351648328
1,1,PER,Red Bull Racing,5.0,2.0,Finished,0.3580000000000041,5.0,2024,Sakhir,97.007,0.3275000000000148,0.8585607142857157
2,2,SAI,Ferrari,4.0,3.0,Finished,0.3280000000000029,4.0,2024,Sakhir,97.283,0.0019999999999953,1.987576923076922
3,3,LEC,Ferrari,2.0,4.0,Finished,0.2279999999999944,2.0,2024,Sakhir,97.281,-0.0019999999999953,0.0972538461538428
4,4,RUS,Mercedes,3.0,5.0,Finished,0.3059999999999974,3.0,2024,Sakhir,96.883,-0.2619999999999862,0.0808181818181797
5,5,NOR,McLaren,7.0,6.0,Finished,0.4350000000000023,7.0,2024,Sakhir,97.148,0.1859999999999928,0.0205999999999992
6,6,HAM,Mercedes,9.0,7.0,Finished,0.5309999999999917,9.0,2024,Sakhir,97.145,0.2619999999999862,1.1392
7,7,PIA,McLaren,8.0,8.0,Finished,0.5040000000000049,8.0,2024,Sakhir,96.962,-0.1859999999999928,2.5615066666666664
8,8,ALO,Aston Martin,6.0,9.0,Finished,0.3629999999999995,6.0,2024,Sakhir,97.1955,-0.6170000000000044,1.537981818181822
9,9,STR,Aston Martin,12.0,10.0,Finished,1.0210000000000008,12.0,2024,Sakhir,97.8125,0.6170000000000044,0.6865143523143501
10,10,ZHO,Kick Sauber,17.0,11.0,Lapped,1.578000000000003,17.0,2024,Sakhir,98.284,0.8900000000000006,1.27695054945055
11,11,MAG,Haas F1 Team,15.0,12.0,Lapped,1.3499999999999943,15.0,2024,Sakhir,98.165,0.2920000000000158,-1.2523067226890785
12,12,RIC,RB,14.0,13.0,Lapped,1.0990000000000038,14.0,2024,Sakhir,97.7885,-0.6895000000000095,0.4307134453781511
13,13,TSU,RB,11.0,14.0,Lapped,0.9500000000000028,11.0,2024,Sakhir,98.478,0.6895000000000095,0.3050112781954864
14,14,ALB,Williams,13.0,15.0,Lapped,1.0420000000000016,13.0,2024,Sakhir,97.991,0.9365000000000094,-0.4371307692307677
