,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
1,1177.291,RUS,63,79.84,2.0,1.0,,,27.99,17.599,34.251,1125.441,1143.04,1177.291,265.0,278.0,294.0,292.0,True,SOFT,2.0,True,Mercedes,1097.451,1,,False,,False,True
5,2125.609,RUS,63,93.246,6.0,3.0,,,31.116,23.1,39.03,2063.479,2086.579,2125.609,267.0,281.0,274.0,248.0,False,SOFT,6.0,False,Mercedes,2032.363,1,,False,,False,True
6,2205.116,RUS,63,79.507,7.0,3.0,,,27.908,17.413,34.186,2153.517,2170.93,2205.116,266.0,282.0,301.0,296.0,True,SOFT,7.0,False,Mercedes,2125.609,1,,False,,False,True
9,3109.517,RUS,63,78.934,10.0,4.0,,,27.816,17.287,33.831,3058.399,3075.686,3109.517,273.0,285.0,301.0,294.0,True,SOFT,2.0,True,Mercedes,3030.583,1,,False,,False,True
12,3546.975,RUS,63,78.987,13.0,5.0,,,27.662,17.426,33.899,3495.65,3513.076,3546.975,268.0,280.0,297.0,294.0,False,SOFT,5.0,False,Mercedes,3467.988,1,,False,,False,True
17,5154.667,RUS,63,79.084,18.0,7.0,,,27.674,17.488,33.922,5103.257,5120.745,5154.667,269.0,274.0,298.0,293.0,True,SOFT,3.0,False,Mercedes,5075.583,1,,False,,False,True
20,5502.835,RUS,63,78.518,21.0,8.0,,,27.498,17.284,33.736,5451.815,5469.099,5502.835,267.0,284.0,296.0,296.0,True,SOFT,2.0,True,Mercedes,5424.317,1,,False,,False,True
23,2169.134,ANT,12,80.12,2.0,1.0,,,28.214,17.61,34.296,2117.228,2134.838,2169.134,264.0,273.0,292.0,279.0,True,SOFT,2.0,True,Mercedes,2089.014,1,,False,,False,True
24,2277.628,ANT,12,108.494,3.0,1.0,,,35.026,24.129,49.339,2204.16,2228.289,2277.628,207.0,234.0,263.0,259.0,False,SOFT,3.0,True,Mercedes,2169.134,1,,False,,False,True
25,2357.917,ANT,12,80.289,4.0,1.0,,,28.414,17.745,34.13,2306.042,2323.787,2357.917,261.0,273.0,292.0,282.0,False,SOFT,4.0,True,Mercedes,2277.628,1,,False,,False,True
28,3084.51,ANT,12,79.604,7.0,2.0,,,27.908,17.495,34.201,3032.814,3050.309,3084.51,273.0,278.0,299.0,294.0,True,SOFT,2.0,True,Mercedes,3004.906,1,,False,,False,True
31,3535.228,ANT,12,79.435,10.0,3.0,,,28.002,17.497,33.936,3483.795,3501.292,3535.228,279.0,285.0,292.0,286.0,True,SOFT,5.0,False,Mercedes,3455.793,1,,False,,False,True
38,5471.365,ANT,12,78.811,17.0,6.0,,,27.556,17.44,33.815,5420.11,5437.55,5471.365,272.0,274.0,298.0,289.0,True,SOFT,2.0,True,Mercedes,5392.554,1,,False,,False,True
41,1224.769,HAD,6,80.445,2.0,1.0,,,28.2,17.919,34.326,1172.524,1190.443,1224.769,284.0,268.0,310.0,301.0,True,SOFT,2.0,True,Red Bull Racing,1144.324,1,,False,,False,True
