,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0,3836.437,NOR,1,96.458,1.0,1.0,,,,18.163,38.796,,3797.998,3836.692,229.0,291.0,304.0,217.0,False,MEDIUM,1.0,True,McLaren,3739.743,2026-03-08 04:03:26.366,1,6.0,False,,False,False
1,3923.781,NOR,1,87.344,2.0,1.0,,,31.074,18.116,38.154,3867.511,3885.627,3923.781,243.0,287.0,303.0,260.0,True,MEDIUM,2.0,True,McLaren,3836.437,2026-03-08 04:05:03.060,1,6.0,False,,False,True
2,4010.644,NOR,1,86.863,3.0,1.0,,,30.541,18.252,38.07,3954.322,3972.574,4010.644,245.0,311.0,286.0,273.0,True,MEDIUM,3.0,True,McLaren,3923.781,2026-03-08 04:06:30.404,1,7.0,False,,False,True
3,4096.501,NOR,1,85.857,4.0,1.0,,,30.19,18.193,37.474,4040.834,4059.027,4096.501,249.0,304.0,283.0,276.0,True,MEDIUM,4.0,True,McLaren,4010.644,2026-03-08 04:07:57.267,1,7.0,False,,False,True
4,4182.074,NOR,1,85.573,5.0,1.0,,,29.93,17.868,37.775,4126.431,4144.299,4182.074,260.0,297.0,280.0,276.0,True,MEDIUM,5.0,True,McLaren,4096.501,2026-03-08 04:09:23.124,1,7.0,False,,False,True
5,4267.11,NOR,1,85.036,6.0,1.0,,,30.025,17.829,37.182,4212.099,4229.928,4267.11,256.0,313.0,293.0,273.0,True,MEDIUM,6.0,True,McLaren,4182.074,2026-03-08 04:10:48.697,1,7.0,False,,False,True
6,4352.088,NOR,1,84.978,7.0,1.0,,,30.067,17.764,37.147,4297.177,4314.941,4352.088,253.0,316.0,297.0,285.0,True,MEDIUM,7.0,True,McLaren,4267.11,2026-03-08 04:12:13.733,1,7.0,False,,False,True
7,4437.387,NOR,1,85.299,8.0,1.0,,,30.191,17.97,37.138,4382.279,4400.249,4437.387,253.0,311.0,298.0,280.0,False,MEDIUM,8.0,True,McLaren,4352.088,2026-03-08 04:13:38.711,1,7.0,False,,False,True
8,4523.026,NOR,1,85.639,9.0,1.0,,,30.135,17.77,37.734,4467.522,4485.292,4523.026,262.0,315.0,284.0,276.0,False,MEDIUM,9.0,True,McLaren,4437.387,2026-03-08 04:15:04.010,1,7.0,False,,False,True
9,4608.321,NOR,1,85.295,10.0,1.0,,,30.117,17.924,37.254,4553.143,4571.067,4608.321,261.0,311.0,295.0,277.0,False,MEDIUM,10.0,True,McLaren,4523.026,2026-03-08 04:16:29.649,1,7.0,False,,False,True
13,5025.952,NOR,1,84.233,14.0,2.0,,,29.882,17.87,36.481,4971.601,4989.471,5025.952,251.0,306.0,287.0,279.0,True,HARD,3.0,True,McLaren,4941.719,2026-03-08 04:23:28.342,1,9.0,False,,False,True
14,5109.736,NOR,1,83.784,15.0,2.0,,,29.402,17.899,36.483,5055.354,5073.253,5109.736,269.0,301.0,288.0,278.0,True,HARD,4.0,True,McLaren,5025.952,2026-03-08 04:24:52.575,1,9.0,False,,False,True
15,5193.648,NOR,1,83.912,16.0,2.0,,,29.524,17.919,36.469,5139.26,5157.179,5193.648,255.0,301.0,290.0,286.0,False,HARD,5.0,True,McLaren,5109.736,2026-03-08 04:26:16.359,1,9.0,False,,False,True
16,5277.701,NOR,1,84.053,17.0,2.0,,,29.442,18.015,36.596,5223.09,5241.105,5277.701,262.0,303.0,291.0,287.0,False,HARD,6.0,True,McLaren,5193.648,2026-03-08 04:27:40.271,1,9.0,False,,False,True
20,5658.921,NOR,1,83.972,21.0,2.0,,,29.499,18.129,36.344,5604.448,5622.577,5658.921,243.0,296.0,285.0,283.0,False,HARD,10.0,True,McLaren,5574.949,2026-03-08 04:34:01.572,1,5.0,False,,False,True
21,5742.608,NOR,1,83.687,22.0,2.0,,,29.317,17.999,36.371,5688.238,5706.237,5742.608,257.0,297.0,285.0,288.0,True,HARD,11.0,True,McLaren,5658.921,2026-03-08 04:35:25.544,1,5.0,False,,False,True
22,5826.142,NOR,1,83.534,23.0,2.0,,,29.254,17.992,36.288,5771.862,5789.854,5826.142,264.0,298.0,285.0,285.0,True,HARD,12.0,True,McLaren,5742.608,2026-03-08 04:36:49.231,1,5.0,False,,False,True
23,5909.536,NOR,1,83.394,24.0,2.0,,,29.302,17.929,36.163,5855.444,5873.373,5909.536,260.0,297.0,284.0,287.0,True,HARD,13.0,True,McLaren,5826.142,2026-03-08 04:38:12.765,1,5.0,False,,False,True
24,5993.036,NOR,1,83.5,25.0,2.0,,,29.373,17.925,36.202,5938.909,5956.834,5993.036,262.0,299.0,295.0,286.0,False,HARD,14.0,True,McLaren,5909.536,2026-03-08 04:39:36.159,1,5.0,False,,False,True
25,6076.439,NOR,1,83.403,26.0,2.0,,,29.35,17.894,36.159,6022.386,6040.28,6076.439,259.0,306.0,294.0,293.0,False,HARD,15.0,True,McLaren,5993.036,2026-03-08 04:40:59.659,1,5.0,False,,False,True
26,6160.335,NOR,1,83.896,27.0,2.0,,,29.426,18.011,36.459,6105.865,6123.876,6160.335,266.0,298.0,289.0,294.0,False,HARD,16.0,True,McLaren,6076.439,2026-03-08 04:42:23.062,1,5.0,False,,False,True
27,6244.375,NOR,1,84.04,28.0,2.0,,,29.538,17.988,36.514,6189.873,6207.861,6244.375,257.0,301.0,293.0,288.0,False,HARD,17.0,True,McLaren,6160.335,2026-03-08 04:43:46.958,1,5.0,False,,False,True
